"FMTNAME","START","LABEL"
"geregX",1,"Northeast"
"geregX",2,"Midwest "
"geregX",3,"South"
"geregX",4,"West"
"gestfipsX",1,"AL"
"gestfipsX",2,"AK"
"gestfipsX",4,"AZ"
"gestfipsX",5,"AR"
"gestfipsX",6,"CA"
"gestfipsX",8,"CO"
"gestfipsX",9,"CT"
"gestfipsX",10,"DE"
"gestfipsX",11,"DC"
"gestfipsX",12,"FL"
"gestfipsX",13,"GA"
"gestfipsX",15,"HI"
"gestfipsX",16,"ID"
"gestfipsX",17,"IL"
"gestfipsX",18,"IN"
"gestfipsX",19,"IA"
"gestfipsX",20,"KS"
"gestfipsX",21,"KY"
"gestfipsX",22,"LA"
"gestfipsX",23,"ME"
"gestfipsX",24,"MD"
"gestfipsX",25,"MA"
"gestfipsX",26,"MI"
"gestfipsX",27,"MN"
"gestfipsX",28,"MS"
"gestfipsX",29,"MO"
"gestfipsX",30,"MT"
"gestfipsX",31,"NE"
"gestfipsX",32,"NV"
"gestfipsX",33,"NH"
"gestfipsX",34,"NJ"
"gestfipsX",35,"NM"
"gestfipsX",36,"NY"
"gestfipsX",37,"NC"
"gestfipsX",38,"ND"
"gestfipsX",39,"OH"
"gestfipsX",40,"OK"
"gestfipsX",41,"OR"
"gestfipsX",42,"PA"
"gestfipsX",44,"RI"
"gestfipsX",45,"SC"
"gestfipsX",46,"SD"
"gestfipsX",47,"TN"
"gestfipsX",48,"TX"
"gestfipsX",49,"UT"
"gestfipsX",50,"VT"
"gestfipsX",51,"VA"
"gestfipsX",53,"WA"
"gestfipsX",54,"WV"
"gestfipsX",55,"WI"
"gestfipsX",56,"WY"
"msa13X",0,"Not in MSA or MSA code not reported"
"msa13X",10180,"Abilene, TX"
"msa13X",10420,"Akron, OH"
"msa13X",10500,"Albany, GA"
"msa13X",10540,"Albany, OR"
"msa13X",10580,"Albany-Schenectady-Troy, NY"
"msa13X",10740,"Albuquerque, NM"
"msa13X",10900,"Allentown-Bethlehem-Easton, PA-NJ"
"msa13X",11020,"Altoona, PA"
"msa13X",11100,"Amarillo, TX~"
"msa13X",11460,"Ann Arbor, MI"
"msa13X",11500,"Anniston-Oxford-Jacksonville, AL"
"msa13X",11540,"Appleton, WI"
"msa13X",11700,"Asheville, NC"
"msa13X",12020,"Athens-Clarke County, GA"
"msa13X",12060,"Atlanta-Sandy Springs-Roswell, GA~"
"msa13X",12100,"Atlantic City-Hammonton, NJ"
"msa13X",12220,"Auburn-Opelika, AL"
"msa13X",12260,"Augusta-Richmond County, GA-SC~"
"msa13X",12420,"Austin-Round Rock, TX"
"msa13X",12540,"Bakersfield, CA"
"msa13X",12580,"Baltimore-Columbia-Towson, MD"
"msa13X",12620,"Bangor, ME~"
"msa13X",12700,"Barnstable Town, MA~"
"msa13X",12940,"Baton Rouge, LA"
"msa13X",12980,"Battle Creek, MI"
"msa13X",13140,"Beaumont-Port Arthur, TX~"
"msa13X",13380,"Bellingham, WA"
"msa13X",13460,"Bend-Redmond, OR"
"msa13X",13740,"Billings, MT~"
"msa13X",13780,"Binghamton, NY"
"msa13X",13820,"Birmingham-Hoover, AL"
"msa13X",13980,"Blacksburg-Christiansburg-Radford, VA~"
"msa13X",14010,"Bloomington, IL~"
"msa13X",14020,"Bloomington, IN~"
"msa13X",14260,"Boise City, ID"
"msa13X",14460,"Boston-Cambridge-Newton, MA-NH~"
"msa13X",14500,"Boulder, CO"
"msa13X",14540,"Bowling Green, KY~"
"msa13X",14740,"Bremerton-Silverdale, WA"
"msa13X",14860,"Bridgeport-Stamford-Norwalk, CT~"
"msa13X",15180,"Brownsville-Harlingen, TX"
"msa13X",15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
"msa13X",15500,"Burlington, NC"
"msa13X",15540,"Burlington-South Burlington, VT~"
"msa13X",15680,"California-Lexington Park, MD"
"msa13X",15940,"Canton-Massillon, OH"
"msa13X",15980,"Cape Coral-Fort Myers, FL"
"msa13X",16060,"Carbondale-Marion, IL~"
"msa13X",16300,"Cedar Rapids, IA"
"msa13X",16540,"Chambersburg-Waynesboro, PA"
"msa13X",16580,"Champaign-Urbana, IL"
"msa13X",16620,"Charleston, WV~"
"msa13X",16700,"Charleston-North Charleston, SC"
"msa13X",16740,"Charlotte-Concord-Gastonia, NC-SC~"
"msa13X",16820,"Charlottesville, VA~"
"msa13X",16860,"Chattanooga, TN-GA"
"msa13X",16980,"Chicago-Naperville-Elgin, IL-IN-WI"
"msa13X",17020,"Chico, CA"
"msa13X",17140,"Cincinnati, OH-KY-IN~"
"msa13X",17300,"Clarksville, TN-KY~"
"msa13X",17420,"Cleveland, TN"
"msa13X",17460,"Cleveland-Elyria, OH"
"msa13X",17660,"Coeur dAlene, ID"
"msa13X",17780,"College Station-Bryan, TX"
"msa13X",17820,"Colorado Springs, CO"
"msa13X",17860,"Columbia, MO~"
"msa13X",17900,"Columbia, SC"
"msa13X",17980,"Columbus, GA-AL"
"msa13X",18140,"Columbus, OH~"
"msa13X",18580,"Corpus Christi, TX"
"msa13X",18880,"Crestview-Fort Walton Beach-Destin, FL~"
"msa13X",19100,"Dallas-Fort Worth-Arlington, TX~"
"msa13X",19300,"Daphne-Fairhope-Foley, AL"
"msa13X",19340,"Davenport-Moline-Rock Island, IA-IL"
"msa13X",19380,"Dayton, OH~"
"msa13X",19460,"Decatur, AL"
"msa13X",19500,"Decatur, IL"
"msa13X",19660,"Deltona-Daytona Beach-Ormond Beach, FL~"
"msa13X",19740,"Denver-Aurora-Lakewood, CO"
"msa13X",19780,"Des Moines-West Des Moines, IA"
"msa13X",19820,"Detroit-Warren-Dearborn, MI"
"msa13X",20100,"Dover, DE"
"msa13X",20260,"Duluth, MN-WI"
"msa13X",20500,"Durham-Chapel Hill, NC"
"msa13X",20700,"East Stroudsburg, PA"
"msa13X",20740,"Eau Claire, WI"
"msa13X",20940,"El Centro, CA"
"msa13X",21140,"Elkhart-Goshen, IN"
"msa13X",21340,"El Paso, TX~"
"msa13X",21500,"Erie, PA"
"msa13X",21660,"Eugene, OR"
"msa13X",21780,"Evansville, IN-KY~"
"msa13X",22020,"Fargo, ND-MN"
"msa13X",22140,"Farmington, NM"
"msa13X",22180,"Fayetteville, NC"
"msa13X",22220,"Fayetteville-Springdale-Rogers, AR-MO"
"msa13X",22420,"Flint, MI"
"msa13X",22500,"Florence, SC"
"msa13X",22520,"Florence-Muscle Shoals, AL"
"msa13X",22660,"Fort Collins, CO"
"msa13X",22900,"Fort Smith, AR-OK~"
"msa13X",23060,"Fort Wayne, IN"
"msa13X",23420,"Fresno, CA"
"msa13X",23540,"Gainesville, FL"
"msa13X",23580,"Gainesville, GA"
"msa13X",24020,"Glens Falls, NY"
"msa13X",24140,"Goldsboro, NC"
"msa13X",24340,"Grand Rapids-Wyoming, MI~"
"msa13X",24540,"Greeley, CO"
"msa13X",24580,"Green Bay, WI"
"msa13X",24660,"Greensboro-High Point, NC"
"msa13X",24780,"Greenville, NC~"
"msa13X",24860,"Greenville-Anderson-Mauldin, SC~"
"msa13X",25060,"Gulfport-Biloxi-Pascagoula, MS~"
"msa13X",25180,"Hagerstown-Martinsburg, MD-WV~"
"msa13X",25260,"Hanford-Corcoran, CA"
"msa13X",25420,"Harrisburg-Carlisle, PA"
"msa13X",25500,"Harrisonburg, VA"
"msa13X",25540,"Hartford-West Hartford-East Hartford, CT~"
"msa13X",25860,"Hickory-Lenoir-Morganton, NC"
"msa13X",25940,"Hilton Head Island-Bluffton-Beaufort, SC"
"msa13X",26420,"Houston-The Woodlands-Sugar Land, TX~"
"msa13X",26580,"Huntington-Ashland, WV-KY-OH~"
"msa13X",26620,"Huntsville, AL"
"msa13X",26820,"Idaho Falls, ID~"
"msa13X",26900,"Indianapolis-Carmel-Anderson, IN~"
"msa13X",26980,"Iowa City, IA"
"msa13X",27100,"Jackson, MI"
"msa13X",27140,"Jackson, MS~"
"msa13X",27260,"Jacksonville, FL"
"msa13X",27340,"Jacksonville, NC"
"msa13X",27500,"Janesville-Beloit, WI"
"msa13X",27740,"Johnson City, TN"
"msa13X",27780,"Johnstown, PA"
"msa13X",27900,"Joplin, MO"
"msa13X",27980,"Kahului-Wailuku-Lahaina, HI~"
"msa13X",28020,"Kalamazoo-Portage, MI"
"msa13X",28100,"Kankakee, IL"
"msa13X",28140,"Kansas City, MO-KS~"
"msa13X",28420,"Kennewick-Richland, WA"
"msa13X",28660,"Killeen-Temple, TX"
"msa13X",28700,"Kingsport-Bristol-Bristol, TN-VA~"
"msa13X",28740,"Kingston, NY"
"msa13X",28940,"Knoxville, TN~"
"msa13X",29100,"La Crosse-Onalaska, WI-MN"
"msa13X",29180,"Lafayette, LA~"
"msa13X",29200,"Lafayette-West Lafayette, IN"
"msa13X",29340,"Lake Charles, LA"
"msa13X",29420,"Lake Havasu City-Kingman, AZ"
"msa13X",29460,"Lakeland-Winter Haven, FL"
"msa13X",29540,"Lancaster, PA"
"msa13X",29620,"Lansing-East Lansing, MI"
"msa13X",29700,"Laredo, TX"
"msa13X",29740,"Las Cruces, NM"
"msa13X",29820,"Las Vegas-Henderson-Paradise, NV"
"msa13X",29940,"Lawrence, KS"
"msa13X",30020,"Lawton, OK~"
"msa13X",30340,"Lewiston-Auburn, ME~"
"msa13X",30460,"Lexington-Fayette, KY"
"msa13X",30780,"Little Rock-North Little Rock-Conway, AR"
"msa13X",30980,"Longview, TX"
"msa13X",31080,"Los Angeles-Long Beach-Anaheim, CA"
"msa13X",31140,"Louisville/Jefferson County, KY-IN~"
"msa13X",31180,"Lubbock, TX~"
"msa13X",31340,"Lynchburg, VA"
"msa13X",31420,"Macon, GA"
"msa13X",31460,"Madera, CA"
"msa13X",31540,"Madison, WI~"
"msa13X",31700,"Manchester-Nashua, NH~"
"msa13X",32580,"McAllen-Edinburg-Mission, TX"
"msa13X",32780,"Medford, OR"
"msa13X",32820,"Memphis, TN-MS-AR~"
"msa13X",32900,"Merced, CA"
"msa13X",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
"msa13X",33140,"Michigan City-La Porte, IN"
"msa13X",33260,"Midland, TX~"
"msa13X",33340,"Milwaukee-Waukesha-West Allis, WI"
"msa13X",33460,"Minneapolis-St. Paul-Bloomington, MN-WI~"
"msa13X",33660,"Mobile, AL"
"msa13X",33700,"Modesto, CA"
"msa13X",33740,"Monroe, LA"
"msa13X",33780,"Monroe, MI"
"msa13X",33860,"Montgomery, AL"
"msa13X",34060,"Morgantown, WV"
"msa13X",34580,"Mount Vernon-Anacortes, WA"
"msa13X",34740,"Muskegon, MI"
"msa13X",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC~"
"msa13X",34900,"Napa, CA"
"msa13X",34940,"Naples-Immokalee-Marco Island, FL"
"msa13X",34980,"Nashville-Davidson-Murfreesboro-Franklin, TN~"
"msa13X",35300,"New Haven-Milford, CT~"
"msa13X",35380,"New Orleans-Metairie, LA~"
"msa13X",35620,"New York-Newark-Jersey City, NY-NJ-PA~"
"msa13X",35660,"Niles-Benton Harbor, MI"
"msa13X",35840,"North Port-Sarasota-Bradenton, FL"
"msa13X",35980,"Norwich-New London, CT~"
"msa13X",36100,"Ocala, FL"
"msa13X",36140,"Ocean City, NJ"
"msa13X",36220,"Odessa, TX"
"msa13X",36260,"Ogden-Clearfield, UT~"
"msa13X",36420,"Oklahoma City, OK"
"msa13X",36500,"Olympia-Tumwater, WA"
"msa13X",36540,"Omaha-Council Bluffs, NE-IA"
"msa13X",36740,"Orlando-Kissimmee-Sanford, FL"
"msa13X",36780,"Oshkosh-Neenah, WI"
"msa13X",37100,"Oxnard-Thousand Oaks-Ventura, CA"
"msa13X",37340,"Palm Bay-Melbourne-Titusville, FL"
"msa13X",37460,"Panama City, FL~"
"msa13X",37860,"Pensacola-Ferry Pass-Brent, FL"
"msa13X",37900,"Peoria, IL"
"msa13X",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"msa13X",38060,"Phoenix-Mesa-Scottsdale, AZ"
"msa13X",38220,"Pine Bluff, AR"
"msa13X",38300,"Pittsburgh, PA"
"msa13X",38860,"Portland-South Portland, ME~"
"msa13X",38900,"Portland-Vancouver-Hillsboro, OR-WA"
"msa13X",38940,"Port St. Lucie, FL"
"msa13X",39140,"Prescott, AZ"
"msa13X",39300,"Providence-Warwick, RI-MA~"
"msa13X",39340,"Provo-Orem, UT"
"msa13X",39380,"Pueblo, CO"
"msa13X",39460,"Punta Gorda, FL"
"msa13X",39540,"Racine, WI"
"msa13X",39580,"Raleigh, NC"
"msa13X",39740,"Reading, PA"
"msa13X",39820,"Redding, CA"
"msa13X",39900,"Reno, NV"
"msa13X",40060,"Richmond, VA~"
"msa13X",40140,"Riverside-San Bernardino-Ontario, CA"
"msa13X",40220,"Roanoke, VA"
"msa13X",40380,"Rochester, NY~"
"msa13X",40420,"Rockford, IL"
"msa13X",40900,"Sacramento-Roseville-Arden-Arcade, CA"
"msa13X",40980,"Saginaw, MI"
"msa13X",41060,"St. Cloud, MN"
"msa13X",41100,"St. George, UT"
"msa13X",41180,"St. Louis, MO-IL~"
"msa13X",41420,"Salem, OR"
"msa13X",41500,"Salinas, CA"
"msa13X",41540,"Salisbury, MD-DE~"
"msa13X",41620,"Salt Lake City, UT~"
"msa13X",41700,"San Antonio-New Braunfels, TX"
"msa13X",41740,"San Diego-Carlsbad, CA"
"msa13X",41860,"San Francisco-Oakland-Hayward, CA"
"msa13X",41940,"San Jose-Sunnyvale-Santa Clara, CA"
"msa13X",42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
"msa13X",42100,"Santa Cruz-Watsonville, CA"
"msa13X",42140,"Santa Fe, NM"
"msa13X",42200,"Santa Maria-Santa Barbara, CA"
"msa13X",42220,"Santa Rosa, CA"
"msa13X",42340,"Savannah, GA"
"msa13X",42540,"Scranton-Wilkes-Barre-Hazleton, PA"
"msa13X",42660,"Seattle-Tacoma-Bellevue, WA"
"msa13X",42680,"Sebastian-Vero Beach, FL"
"msa13X",43300,"Sherman-Denison, TX"
"msa13X",43340,"Shreveport-Bossier City, LA~"
"msa13X",43420,"Sierra Vista-Douglas, AZ"
"msa13X",43620,"Sioux Falls, SD"
"msa13X",43780,"South Bend-Mishawaka, IN-MI"
"msa13X",43900,"Spartanburg, SC~"
"msa13X",44060,"Spokane-Spokane Valley, WA~"
"msa13X",44100,"Springfield, IL"
"msa13X",44140,"Springfield, MA~"
"msa13X",44180,"Springfield, MO"
"msa13X",44220,"Springfield, OH"
"msa13X",44700,"Stockton-Lodi, CA"
"msa13X",45060,"Syracuse, NY"
"msa13X",45220,"Tallahassee, FL"
"msa13X",45300,"Tampa-St. Petersburg-Clearwater, FL"
"msa13X",45460,"Terre Haute, IN"
"msa13X",45780,"Toledo, OH~"
"msa13X",45820,"Topeka, KS"
"msa13X",45940,"Trenton, NJ"
"msa13X",46060,"Tucson, AZ"
"msa13X",46140,"Tulsa, OK"
"msa13X",46220,"Tuscaloosa, AL~"
"msa13X",46340,"Tyler, TX"
"msa13X",46520,"Urban Honolulu, HI"
"msa13X",46540,"Utica-Rome, NY"
