VariableName,VarLabel,Notes,Code,Value,in2009,in2011,in2013,in2015,in2017,StartYear,EndYear
gereg,Geographic region,,1,Northeast,y,y,y,y,y,2009,
gereg,Geographic region,,2,Midwest ,y,y,y,y,y,2009,
gereg,Geographic region,,3,South,y,y,y,y,y,2009,
gereg,Geographic region,,4,West,y,y,y,y,y,2009,
gestfips,State,,1,AL,y,y,y,y,y,2009,
gestfips,State,,2,AK,y,y,y,y,y,2009,
gestfips,State,,4,AZ,y,y,y,y,y,2009,
gestfips,State,,5,AR,y,y,y,y,y,2009,
gestfips,State,,6,CA,y,y,y,y,y,2009,
gestfips,State,,8,CO,y,y,y,y,y,2009,
gestfips,State,,9,CT,y,y,y,y,y,2009,
gestfips,State,,10,DE,y,y,y,y,y,2009,
gestfips,State,,11,DC,y,y,y,y,y,2009,
gestfips,State,,12,FL,y,y,y,y,y,2009,
gestfips,State,,13,GA,y,y,y,y,y,2009,
gestfips,State,,15,HI,y,y,y,y,y,2009,
gestfips,State,,16,ID,y,y,y,y,y,2009,
gestfips,State,,17,IL,y,y,y,y,y,2009,
gestfips,State,,18,IN,y,y,y,y,y,2009,
gestfips,State,,19,IA,y,y,y,y,y,2009,
gestfips,State,,20,KS,y,y,y,y,y,2009,
gestfips,State,,21,KY,y,y,y,y,y,2009,
gestfips,State,,22,LA,y,y,y,y,y,2009,
gestfips,State,,23,ME,y,y,y,y,y,2009,
gestfips,State,,24,MD,y,y,y,y,y,2009,
gestfips,State,,25,MA,y,y,y,y,y,2009,
gestfips,State,,26,MI,y,y,y,y,y,2009,
gestfips,State,,27,MN,y,y,y,y,y,2009,
gestfips,State,,28,MS,y,y,y,y,y,2009,
gestfips,State,,29,MO,y,y,y,y,y,2009,
gestfips,State,,30,MT,y,y,y,y,y,2009,
gestfips,State,,31,NE,y,y,y,y,y,2009,
gestfips,State,,32,NV,y,y,y,y,y,2009,
gestfips,State,,33,NH,y,y,y,y,y,2009,
